unit_id,scene,issues,generated_es419
"unit:0001","1","","Como muchos se propusieron poner por escrito una narración acerca de los hechos que entre nosotros han quedado plenamente confirmados,"
"unit:0002","1","","tal como nos los transmitieron desde el principio los que fueron testigos presenciales y servidores del mensaje,"
"unit:0003","1","","me pareció bien también a mí, que desde el principio he seguido todo con precisión y por orden, escribírtelo, excelentísimo Teófilo,"
"unit:0004","1","","para que conozcas la certeza de las palabras acerca de las que te instruyeron."
"unit:0005","1","","En el principio era la Palabra, y la Palabra estaba con Dios, y la Palabra era Dios."
"unit:0006","1","","Ésta estaba en el principio con Dios."
"unit:0007","1","","Todo por medio de él se hizo, y sin él no se hizo ni una sola cosa. Lo que ha venido a ser"
"unit:0008","1","","en él estaba la vida, y la vida era la luz de los seres humanos;"
"unit:0009","1","","y la luz resplandece en la oscuridad, y la oscuridad no la comprendió."
"unit:0010","1","","Surgió un hombre enviado por Dios, cuyo nombre era Juan;"
"unit:0011","1","","Este vino como testigo, para dar testimonio acerca de la luz, a fin de que todos creyeran por medio de él."
"unit:0012","1","","Él no era la luz, sino que vino para dar testimonio acerca de la luz."
"unit:0013","1","","Era la luz verdadera que ilumina a toda persona que viene al mundo."
"unit:0014","1","","Estaba en el mundo, y el mundo llegó a existir por medio de él, pero el mundo no lo reconoció."
"unit:0015","1","","Vino a lo suyo, y los suyos no lo recibieron."
"unit:0016","1","","Pero a todos los que lo recibieron, a los que creen en su nombre, les dio autoridad para llegar a ser hijos de Dios;"
"unit:0017","1","","ellos no nacieron de sangre, ni de voluntad de la carne, ni de voluntad de hombre, sino de Dios."
"unit:0018","1","","Y la Palabra se hizo carne y puso su morada entre nosotros, y contemplamos su gloria, gloria como de un único proveniente del Padre, lleno de gracia y de verdad."
"unit:0019","1","","(Juan da testimonio acerca de él y ha exclamado diciendo: «Este era aquel de quien dije: “El que viene detrás de mí ha llegado a estar delante de mí, porque existía antes que yo”».)"
"unit:0020","1","","porque de su plenitud nosotros todos recibimos, y gracia por gracia."
"unit:0021","1","","porque la ley fue dada por medio de Moisés; la gracia y la verdad vinieron por medio de Jesucristo."
"unit:0022","1","","a Dios nadie lo ha visto jamás; el Dios unigénito, que está en el seno del Padre, él lo ha dado a conocer."
"unit:0023","2","","Libro de la genealogía de Jesucristo"
"unit:0024","2","","Y él mismo era Jesús, al comenzar, de unos treinta años,"
"unit:0025","2","BROKEN_SENTENCE","hijo de David"
"unit:0026","2","","hijo de Abraham."
"unit:0027","2","","siendo hijo, según se suponía,"
"unit:0028","2","","el esposo de María, de quien nació Jesús, el llamado Cristo."
"unit:0029","2","BROKEN_SENTENCE","José, de Elí"
"unit:0030","2","","y Jacob engendró a José"
"unit:0031","2","BROKEN_SENTENCE|EXACT_TEXT_REPEAT","de Matat"
"unit:0032","2","","y Eleazar engendró a Matán,"
"unit:0033","2","BROKEN_SENTENCE|EXACT_TEXT_REPEAT","de Leví"
"unit:0034","2","BROKEN_SENTENCE|EXACT_TEXT_REPEAT","de Melquí"
"unit:0035","2","BROKEN_SENTENCE","de Jannái"
"unit:0036","2","BROKEN_SENTENCE|EXACT_TEXT_REPEAT","de José"
"unit:0037","2","BROKEN_SENTENCE|EXACT_TEXT_REPEAT","de Matatías"
"unit:0038","2","BROKEN_SENTENCE","de Amós"
"unit:0039","2","BROKEN_SENTENCE","de Nahúm"
"unit:0040","2","BROKEN_SENTENCE","de Esli"
"unit:0041","2","BROKEN_SENTENCE","de Nagai"
"unit:0042","2","BROKEN_SENTENCE","de Maat"
"unit:0043","2","BROKEN_SENTENCE|EXACT_TEXT_REPEAT","de Matatías"
"unit:0044","2","BROKEN_SENTENCE","de Semeín"
"unit:0045","2","BROKEN_SENTENCE|EXACT_TEXT_REPEAT","de José"
"unit:0046","2","BROKEN_SENTENCE","de Jodá"
"unit:0047","2","BROKEN_SENTENCE","de Joanán"
